id,sus_id,name
4201109,42007,Grande Florianópolis
4201208,42007,Grande Florianópolis
4201257,42006,Médio Vale do Itajaí
4201273,42010,Alto Uruguai Catarinense
4201307,42011,Nordeste
4201406,42014,Extremo Sul Catarinense
4201505,42016,Laguna
4201604,42009,Alto Vale do Rio do Peixe
4201653,42010,Alto Uruguai Catarinense
4201703,42006,Médio Vale do Itajaí
4201802,42004,Alto Vale do Itajaí
4201901,42004,Alto Vale do Itajaí
4201950,42014,Extremo Sul Catarinense
4202008,42005,Foz do Rio Itajaí
4202057,42011,Nordeste
4202073,42014,Extremo Sul Catarinense
4202081,42001,Extremo Oeste
4202099,42001,Extremo Oeste
4202107,42011,Nordeste
4202131,42012,Planalto Norte
4202156,42001,Extremo Oeste
4202206,42006,Médio Vale do Itajaí
4202305,42007,Grande Florianópolis
4202404,42006,Médio Vale do Itajaí
4202438,42013,Serra Catarinense
4202453,42005,Foz do Rio Itajaí
4202503,42013,Serra Catarinense
4202537,42003,Xanxerê
4202578,42001,Extremo Oeste
4202602,42013,Serra Catarinense
4202701,42006,Médio Vale do Itajaí
4202800,42016,Laguna
4202859,42004,Alto Vale do Itajaí
4202875,42008,Meio Oeste
4202909,42006,Médio Vale do Itajaí
4203006,42009,Alto Vale do Rio do Peixe
4203105,42002,Oeste
4203154,42009,Alto Vale do Rio do Peixe
4203204,42005,Foz do Rio Itajaí
4203253,42013,Serra Catarinense
4203303,42012,Planalto Norte
4203402,42013,Serra Catarinense
4203501,42003,Xanxerê
4203600,42008,Meio Oeste
4203709,42007,Grande Florianópolis
4203808,42012,Planalto Norte
4203907,42008,Meio Oeste
4203956,42016,Laguna
4204004,42008,Meio Oeste
4204103,42002,Oeste
4204152,42008,Meio Oeste
4204178,42013,Serra Catarinense
4204194,42004,Alto Vale do Itajaí
4204202,42002,Oeste
4204251,42015,Carbonífera
4204301,42010,Alto Uruguai Catarinense
4204350,42002,Oeste
4204400,42002,Oeste
4204459,42003,Xanxerê
4204509,42011,Nordeste
4204558,42013,Serra Catarinense
4204608,42015,Carbonífera
4204707,42002,Oeste
4204756,42002,Oeste
4204806,42009,Alto Vale do Rio do Peixe
4204905,42001,Extremo Oeste
4205001,42001,Extremo Oeste
4205100,42004,Alto Vale do Itajaí
4205159,42006,Médio Vale do Itajaí
4205175,42003,Xanxerê
4205191,42014,Extremo Sul Catarinense
4205209,42008,Meio Oeste
4205308,42003,Xanxerê
4205357,42001,Extremo Oeste
4205407,42007,Grande Florianópolis
4205431,42002,Oeste
4205456,42015,Carbonífera
4205506,42009,Alto Vale do Rio do Peixe
4205555,42009,Alto Vale do Rio do Peixe
4205605,42003,Xanxerê
4205704,42007,Grande Florianópolis
4205803,42011,Nordeste
4205902,42006,Médio Vale do Itajaí
4206009,42007,Grande Florianópolis
4206108,42016,Laguna
4206207,42016,Laguna
4206306,42006,Médio Vale do Itajaí
4206405,42001,Extremo Oeste
4206504,42011,Nordeste
4206603,42001,Extremo Oeste
4206652,42002,Oeste
4206702,42008,Meio Oeste
4206751,42009,Alto Vale do Rio do Peixe
4206801,42008,Meio Oeste
4206900,42004,Alto Vale do Itajaí
4207007,42015,Carbonífera
4207106,42005,Foz do Rio Itajaí
4207205,42016,Laguna
4207304,42016,Laguna
4207403,42004,Alto Vale do Itajaí
4207502,42006,Médio Vale do Itajaí
4207577,42009,Alto Vale do Rio do Peixe
4207601,42010,Alto Uruguai Catarinense
4207650,42001,Extremo Oeste
4207684,42003,Xanxerê
4207700,42010,Alto Uruguai Catarinense
4207759,42001,Extremo Oeste
4207809,42010,Alto Uruguai Catarinense
4207858,42002,Oeste
4207908,42012,Planalto Norte
4208005,42010,Alto Uruguai Catarinense
4208104,42012,Planalto Norte
4208203,42005,Foz do Rio Itajaí
4208302,42005,Foz do Rio Itajaí
4208401,42001,Extremo Oeste
4208450,42011,Nordeste
4208500,42004,Alto Vale do Itajaí
4208609,42008,Meio Oeste
4208708,42014,Extremo Sul Catarinense
4208807,42016,Laguna
4208906,42011,Nordeste
4208955,42002,Oeste
4209003,42008,Meio Oeste
4209102,42011,Nordeste
4209151,42004,Alto Vale do Itajaí
4209177,42003,Xanxerê
